source,target,tgt_lng
noninvasive,非侵入性,zh
non-invasive,非侵入性,zh
invasive,侵入性,zh
temporally interfering,时间干涉,zh
temporal interference,时间干涉,zh
electric fields,电场,zh
deep brain stimulation,深部脑刺激,zh
DBS,DBS,zh
transcranial,经颅,zh
hippocampus,海马,zh
hippocampal,海马的,zh
cortex,皮层,zh
cortical,皮层的,zh
neuron,神经元,zh
neuronal,神经元的,zh
envelope,包络,zh
carrier frequency,载波频率,zh
difference frequency,差频,zh
recruitment,募集,zh
recruit,募集,zh
whole-cell patch clamp,全细胞膜片钳,zh
patch clamp,膜片钳,zh
c-fos,c-fos,zh
action potential,动作电位,zh
membrane potential,膜电位,zh
stimulation,刺激,zh
stimulate,刺激,zh
frequency,频率,zh
amplitude,幅度,zh
electrode,电极,zh
in vivo,体内,zh
in vitro,体外,zh
abstract,摘要,zh
introduction,引言,zh
results,结果,zh
discussion,讨论,zh
methods,方法,zh
supplementary,补充,zh
figure,图,zh
table,表,zh
et al.,等,zh
significant,显著的,zh
significantly,显著地,zh
compared with,与……相比,zh
compared to,与……相比,zh
respectively,分别,zh
furthermore,此外,zh
however,然而,zh
therefore,因此,zh
in contrast,相比之下,zh
consistent with,与……一致,zh
